SERVICE_FREQUENCY,SF_VALUE
1x per week,4
2x per week,8
3x per week,12
4x per week,16
5x per week,20
6x per week,24
7x per week,28
Every 1 Day,28
Every 2 weeks,
Every 4 weeks,
